EE01;Carrera;COMISIÓN;D;CAP Capacidades;COM COMPETENCIAS;¿Cómo enseñan los contenidos? Puedes seleccionar más de una;DA Dificultades de Aprendizaje;HT Herramientas Tecnológicas;EVA Tipo de Evaluacion;DEa Afinamiento de Conceptos;¿De qué manera lo hacen? Puedes seleccionar más de una;APR Formas que aprendo
6/9/202416:06:46;IEM;X1;ÁLGEBRA Y GEOMETRÍA ANALÍTICA;CAP02a;COM01,COM03;EE03,EE10;DA02a;HT01a;EVA01c,EVA01f,EVA02b;DEa01;DEb04;APRa
13/8/202418:17:01;IEM;D;INGENIERÍA Y SOCIEDAD;CAP02c;COM04,COM05;EE04,EE05;DA01a;HT01g,HT01k;EVA01f,EVA01i,EVA02c;DEa02;DEb02,DEb05;APRb,APRc
16/8/202408:01:28;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01a;COM01,COM02,COM03,COM06;EE08,EE10;DA03,;HT01a;EVA01b,EVA01f,EVA02c;DEa03;;APRc
16/8/202408:01:34;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01b;COM01,COM03,COM05;EE05,EE10;DA02b;HT01a;EVA01b,EVA01c,EVA02c;DEa03;;APRa,APRb
16/8/202408:01:40;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP03;COM01,COM02,COM04;EE05,EE10;DA02b;HT01i;EVA01a,EVA01b,EVA01c,EVA01d,EVA02c;DEa03;;APRa,APRf
16/8/202408:02:04;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01a;COM01,COM05;EE03,EE05,EE10;DA03,;HT01a;EVA01a,EVA01b,EVA01c,EVA02c;DEa02;DEb04;APRb,APRe,APRf
16/8/202408:02:05;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01a;COM01,COM03;EE10;DA01a;HT01a,HT01i;EVA01b,EVA02c;DEa02;DEb01;APRb,APRc
16/8/202408:02:14;ISI;1;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01b;COM01,COM03;EE05,EE08,EE10;DA03,;HT01a,HT01i;EVA01b,EVA01d,EVA02c;DEa03;;APRb,APRf
16/8/202408:02:17;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP03;COM01,COM02,COM03;EE03,EE05,EE10;DA03,;HT01f;EVA01b,EVA01c,EVA01f,EVA02c;DEa01;DEb01;APRb,APRc,APRe
16/8/202408:02:19;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01b;COM01,COM02,COM03,COM04;EE03,EE10;DA02b;HT01a;EVA01b,EVA02b;DEa03;;APRb,APRc,APRf
16/8/202408:02:22;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP02b;COM02;EE10;DA02a;HT02;EVA01a,EVA01b,EVA01d,EVA02c;DEa03;;APRb,APRc,APRf
16/8/202408:02:24;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP02c;COM01;EE06;DA02b;HT01i;EVA01b,EVA02c;DEa02;DEb01;APRb
16/8/202408:02:31;ISI;3;LÓGICA Y ESTRUCTURA DISCRETAS;CAP02b;COM01;EE04;DA03,;HT02;EVA01b,EVA02a;DEa03;;APRb,APRd
16/8/202408:02:32;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01a;COM03;EE05;DA03,;HT01a;EVA01b,EVA01d,EVA02b;DEa02;DEb01;APRb
16/8/202408:02:33;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP02d;COM01;EE10;DA03,;HT01a,HT01i;EVA01a,EVA01b,EVA01f,EVA02a;DEa02;DEb01;APRb,APRc
16/8/202408:02:37;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP02c;COM01,COM03;EE06,EE08,EE10;DA03,;HT01a;EVA01a,EVA01b,EVA02c;DEa02;DEb02;APRb,APRd
16/8/202408:02:39;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP02a;COM01;EE05,EE08,EE10;DA02a;HT01a;EVA01a,EVA01b,EVA01c,EVA01f,EVA02b;DEa02;DEb01;APRb,APRc,APRe
16/8/202408:02:44;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01b;COM01,COM03;EE08,EE10;DA03,;HT02;EVA01a,EVA01c,EVA01f,EVA02b;DEa03;;APRb
16/8/202408:02:50;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01a;COM01,COM03;EE10;DA03,;HT01a;EVA01b,EVA02c;DEa03;;APRb,APRf
16/8/202408:02:54;ISI;1,1;LÓGICA Y ESTRUCTURA DISCRETAS;CAP02b;COM01,COM03,COM05;EE05,EE08;DA03,;HT02;EVA01b,EVA02b;DEa01;DEb04,;APRf
16/8/202408:02:57;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP02b;COM08;EE10;DA03,;HT01a;EVA01a,EVA01c,EVA02c;DEa02;DEb03,DEb06;APRb,APRc
16/8/202408:02:58;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP03;COM03;EE05,EE08;DA03,;HT02;EVA01c,EVA02b;DEa02;DEb04;
16/8/202408:02:58;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP02b;COM01;EE10;DA03,;HT01a;EVA01b,EVA02a;DEa03;;APRa
16/8/202408:03:00;ISI;k11;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01b;COM01,COM03,COM05;EE10;DA02a;HT01a;EVA01b,EVA01c,EVA01d,EVA02c;DEa03;;APRb,APRc,APRf
16/8/202408:03:00;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01a;COM01,COM02,COM03;EE10;DA03,;HT01a;EVA01a,EVA01c,EVA02c;DEa02;DEb01,DEb02,DEb04;APRb,APRc,APRe
16/8/202408:03:03;ISI;A;LÓGICA Y ESTRUCTURA DISCRETAS;CAP01a;COM01,COM02,COM03;EE05,EE08,EE10;DA01a;HT02;EVA01a,EVA01b,EVA02c;DEa02;DEb01,DEb02,DEb03,DEb04;APRa,APRb
